Source,Year,Mean
GCAG,2015,0.8990
GISTEMP,2015,0.87
GCAG,2014,0.7402
GISTEMP,2014,0.75
GCAG,2013,0.6687
GISTEMP,2013,0.66
GCAG,2012,0.6219
GISTEMP,2012,0.64
GCAG,2011,0.5759
GISTEMP,2011,0.61
GCAG,2010,0.7008
GISTEMP,2010,0.72
GCAG,2009,0.6354
GISTEMP,2009,0.65
GCAG,2008,0.5415
GISTEMP,2008,0.54
GCAG,2007,0.6113
GISTEMP,2007,0.66
GCAG,2006,0.6139
GISTEMP,2006,0.63
GCAG,2005,0.6583
GISTEMP,2005,0.69
GCAG,2004,0.5806
GISTEMP,2004,0.55
GCAG,2003,0.6145
GISTEMP,2003,0.62
GCAG,2002,0.6018
GISTEMP,2002,0.63
GCAG,2001,0.5455
GISTEMP,2001,0.55
GCAG,2000,0.4255
GISTEMP,2000,0.42
GCAG,1999,0.4427
GISTEMP,1999,0.42
GCAG,1998,0.6335
GISTEMP,1998,0.64
GCAG,1997,0.5185
GISTEMP,1997,0.48
GCAG,1996,0.3225
GISTEMP,1996,0.35
GCAG,1995,0.4593
GISTEMP,1995,0.46
GCAG,1994,0.3420
GISTEMP,1994,0.32
GCAG,1993,0.2857
GISTEMP,1993,0.24
GCAG,1992,0.2583
GISTEMP,1992,0.23
GCAG,1991,0.4079
GISTEMP,1991,0.43
GCAG,1990,0.4350
GISTEMP,1990,0.44
GCAG,1989,0.2982
GISTEMP,1989,0.29
GCAG,1988,0.3770
GISTEMP,1988,0.41
GCAG,1987,0.3710
GISTEMP,1987,0.33
GCAG,1986,0.2308
GISTEMP,1986,0.19
GCAG,1985,0.1357
GISTEMP,1985,0.12
GCAG,1984,0.1510
GISTEMP,1984,0.16
GCAG,1983,0.3429
GISTEMP,1983,0.3
GCAG,1982,0.1836
GISTEMP,1982,0.13
GCAG,1981,0.3024
GISTEMP,1981,0.33
GCAG,1980,0.2651
GISTEMP,1980,0.27
GCAG,1979,0.2288
GISTEMP,1979,0.17
GCAG,1978,0.1139
GISTEMP,1978,0.07
GCAG,1977,0.1996
GISTEMP,1977,0.18
GCAG,1976,-0.0769
GISTEMP,1976,-0.12
GCAG,1975,0.0060
GISTEMP,1975,-0.02
GCAG,1974,-0.0698
GISTEMP,1974,-0.08
GCAG,1973,0.1654
GISTEMP,1973,0.15
GCAG,1972,0.0280
GISTEMP,1972,0.01
GCAG,1971,-0.0775
GISTEMP,1971,-0.09
GCAG,1970,0.0383
GISTEMP,1970,0.02
GCAG,1969,0.0937
GISTEMP,1969,0.06
GCAG,1968,-0.0282
GISTEMP,1968,-0.07
GCAG,1967,-0.0112
GISTEMP,1967,-0.02
GCAG,1966,-0.0204
GISTEMP,1966,-0.05
GCAG,1965,-0.0752
GISTEMP,1965,-0.1
GCAG,1964,-0.1461
GISTEMP,1964,-0.2
GCAG,1963,0.1100
GISTEMP,1963,0.06
GCAG,1962,0.0924
GISTEMP,1962,0.03
GCAG,1961,0.0818
GISTEMP,1961,0.05
GCAG,1960,0.0252
GISTEMP,1960,-0.03
GCAG,1959,0.0640
GISTEMP,1959,0.03
GCAG,1958,0.1145
GISTEMP,1958,0.07
GCAG,1957,0.0538
GISTEMP,1957,0.04
GCAG,1956,-0.1945
GISTEMP,1956,-0.2
GCAG,1955,-0.1305
GISTEMP,1955,-0.15
GCAG,1954,-0.1118
GISTEMP,1954,-0.12
GCAG,1953,0.0997
GISTEMP,1953,0.08
GCAG,1952,0.0288
GISTEMP,1952,0.01
GCAG,1951,-0.0095
GISTEMP,1951,-0.06
GCAG,1950,-0.1579
GISTEMP,1950,-0.18
GCAG,1949,-0.0550
GISTEMP,1949,-0.09
GCAG,1948,-0.0471
GISTEMP,1948,-0.09
GCAG,1947,-0.0455
GISTEMP,1947,-0.05
GCAG,1946,-0.0013
GISTEMP,1946,-0.04
GCAG,1945,0.1754
GISTEMP,1945,0.12
GCAG,1944,0.2948
GISTEMP,1944,0.25
GCAG,1943,0.1598
GISTEMP,1943,0.13
GCAG,1942,0.1549
GISTEMP,1942,0.09
GCAG,1941,0.1974
GISTEMP,1941,0.13
GCAG,1940,0.0927
GISTEMP,1940,0.08
GCAG,1939,-0.0157
GISTEMP,1939,-0.03
GCAG,1938,-0.0318
GISTEMP,1938,-0.03
GCAG,1937,-0.0204
GISTEMP,1937,-0.03
GCAG,1936,-0.1173
GISTEMP,1936,-0.15
GCAG,1935,-0.1445
GISTEMP,1935,-0.19
GCAG,1934,-0.1075
GISTEMP,1934,-0.14
GCAG,1933,-0.2481
GISTEMP,1933,-0.29
GCAG,1932,-0.1214
GISTEMP,1932,-0.16
GCAG,1931,-0.0714
GISTEMP,1931,-0.09
GCAG,1930,-0.1016
GISTEMP,1930,-0.14
GCAG,1929,-0.2982
GISTEMP,1929,-0.35
GCAG,1928,-0.1749
GISTEMP,1928,-0.21
GCAG,1927,-0.1506
GISTEMP,1927,-0.2
GCAG,1926,-0.0618
GISTEMP,1926,-0.09
GCAG,1925,-0.1464
GISTEMP,1925,-0.2
GCAG,1924,-0.2510
GISTEMP,1924,-0.28
GCAG,1923,-0.2161
GISTEMP,1923,-0.24
GCAG,1922,-0.2318
GISTEMP,1922,-0.27
GCAG,1921,-0.1517
GISTEMP,1921,-0.21
GCAG,1920,-0.2152
GISTEMP,1920,-0.27
GCAG,1919,-0.2082
GISTEMP,1919,-0.22
GCAG,1918,-0.2118
GISTEMP,1918,-0.26
GCAG,1917,-0.3193
GISTEMP,1917,-0.4
GCAG,1916,-0.2979
GISTEMP,1916,-0.34
GCAG,1915,-0.0747
GISTEMP,1915,-0.11
GCAG,1914,-0.1444
GISTEMP,1914,-0.16
GCAG,1913,-0.3205
GISTEMP,1913,-0.34
GCAG,1912,-0.3318
GISTEMP,1912,-0.35
GCAG,1911,-0.4367
GISTEMP,1911,-0.45
GCAG,1910,-0.3862
GISTEMP,1910,-0.43
GCAG,1909,-0.4332
GISTEMP,1909,-0.48
GCAG,1908,-0.4441
GISTEMP,1908,-0.43
GCAG,1907,-0.3767
GISTEMP,1907,-0.4
GCAG,1906,-0.2208
GISTEMP,1906,-0.23
GCAG,1905,-0.2967
GISTEMP,1905,-0.28
GCAG,1904,-0.4240
GISTEMP,1904,-0.45
GCAG,1903,-0.3442
GISTEMP,1903,-0.36
GCAG,1902,-0.2535
GISTEMP,1902,-0.28
GCAG,1901,-0.1471
GISTEMP,1901,-0.15
GCAG,1900,-0.0704
GISTEMP,1900,-0.09
GCAG,1899,-0.1172
GISTEMP,1899,-0.16
GCAG,1898,-0.2578
GISTEMP,1898,-0.28
GCAG,1897,-0.1232
GISTEMP,1897,-0.11
GCAG,1896,-0.0971
GISTEMP,1896,-0.15
GCAG,1895,-0.2279
GISTEMP,1895,-0.21
GCAG,1894,-0.2828
GISTEMP,1894,-0.3
GCAG,1893,-0.3221
GISTEMP,1893,-0.3
GCAG,1892,-0.3079
GISTEMP,1892,-0.26
GCAG,1891,-0.2552
GISTEMP,1891,-0.24
GCAG,1890,-0.3233
GISTEMP,1890,-0.36
GCAG,1889,-0.1032
GISTEMP,1889,-0.11
GCAG,1888,-0.1541
GISTEMP,1888,-0.2
GCAG,1887,-0.2559
GISTEMP,1887,-0.33
GCAG,1886,-0.2101
GISTEMP,1886,-0.3
GCAG,1885,-0.2220
GISTEMP,1885,-0.31
GCAG,1884,-0.2099
GISTEMP,1884,-0.28
GCAG,1883,-0.1481
GISTEMP,1883,-0.2
GCAG,1882,-0.0710
GISTEMP,1882,-0.1
GCAG,1881,-0.0707
GISTEMP,1881,-0.12
GCAG,1880,-0.1247
GISTEMP,1880,-0.2
